date,zone,consumption,pressure,flow_rate,leakage,pipe_segment,temperature,population_served,water_quality_index
2024-03-03,Zone-B,1012.1,43.33,290.4,8.53,Segment-2,18.3,12000,95
2024-03-03,Zone-C,1399.3,46.51,356.4,17.64,Segment-3,19.1,18000,84
2024-03-03,Zone-D,765.7,42.5,232.1,6.98,Segment-4,17.8,10000,96
2024-03-03,Zone-E,1179.3,43.92,307.5,10.68,Segment-5,18.9,13500,89
2024-03-04,Zone-A,1208.1,45.76,321.3,10.91,Segment-1,18.8,15000,88
2024-03-04,Zone-B,1035.0,43.35,293.4,9.76,Segment-2,17.6,12000,89
2024-03-04,Zone-C,1471.8,64.72,353.6,34.0,Segment-3,18.2,18000,85
2024-03-04,Zone-D,922.4,42.8,244.8,6.25,Segment-4,18.1,10000,94
2024-03-04,Zone-E,1095.4,43.85,299.2,11.65,Segment-5,19.1,13500,91
2024-03-05,Zone-A,1396.5,44.73,330.2,13.53,Segment-1,18.4,15000,88
2024-03-05,Zone-B,993.9,43.8,278.3,8.86,Segment-2,18.5,12000,92
2024-03-05,Zone-C,1483.5,46.52,357.7,18.84,Segment-3,17.7,18000,89
2024-03-05,Zone-D,867.6,42.86,242.9,7.05,Segment-4,18.5,10000,89
2024-03-05,Zone-E,1158.7,43.97,306.5,10.24,Segment-5,17.6,13500,94
2024-03-06,Zone-A,1323.2,45.15,316.0,12.59,Segment-1,18.1,15000,89
2024-03-06,Zone-B,1032.8,43.53,276.6,7.57,Segment-2,17.3,12000,90
2024-03-06,Zone-C,1364.9,45.87,354.3,17.05,Segment-3,17.9,18000,87
2024-03-06,Zone-D,939.9,42.01,235.2,6.11,Segment-4,18.1,10000,96
2024-03-06,Zone-E,1113.4,43.48,310.6,10.42,Segment-5,17.6,13500,90
2024-03-07,Zone-A,1350.3,44.98,328.5,11.4,Segment-1,18.5,15000,85
2024-03-07,Zone-B,999.4,43.7,282.5,7.26,Segment-2,17.9,12000,91
2024-03-07,Zone-C,1557.8,46.05,357.0,15.18,Segment-3,18.0,18000,84
2024-03-07,Zone-D,899.7,42.86,237.4,5.34,Segment-4,17.6,10000,94
2024-03-07,Zone-E,1142.3,43.6,300.6,10.72,Segment-5,18.4,13500,90
2024-03-08,Zone-A,1307.6,45.16,331.1,13.31,Segment-1,17.7,15000,87
2024-03-08,Zone-B,957.0,43.84,284.4,7.21,Segment-2,17.7,12000,94
2024-03-08,Zone-C,1556.4,46.49,354.6,17.65,Segment-3,18.4,18000,84
2024-03-08,Zone-D,917.0,42.66,252.3,5.88,Segment-4,17.7,10000,94
2024-03-08,Zone-E,1099.7,61.25,297.7,9.98,Segment-5,17.6,13500,88
2024-03-09,Zone-A,1274.5,45.0,327.8,12.1,Segment-1,18.8,15000,89
2024-03-09,Zone-B,1031.1,44.05,285.6,10.58,Segment-2,17.3,12000,91
2024-03-09,Zone-C,1427.6,45.86,347.9,20.19,Segment-3,17.3,18000,82
2024-03-09,Zone-D,892.5,42.26,250.5,6.43,Segment-4,18.3,10000,94
2024-03-09,Zone-E,1165.4,44.42,298.0,10.82,Segment-5,17.8,13500,90
2024-03-10,Zone-A,1233.8,44.85,337.1,12.5,Segment-1,17.7,15000,87
2024-03-10,Zone-B,992.9,44.1,286.2,8.33,Segment-2,18.6,12000,94
2024-03-10,Zone-C,1542.3,46.02,353.6,17.16,Segment-3,18.3,18000,82
2024-03-10,Zone-D,915.4,42.54,245.2,7.03,Segment-4,17.7,10000,93
2024-03-10,Zone-E,1055.1,44.13,298.2,10.32,Segment-5,18.7,13500,91
2024-03-11,Zone-A,1306.2,44.94,339.3,12.99,Segment-1,16.6,15000,85
2024-03-11,Zone-B,1090.3,44.14,278.0,12.58,Segment-2,17.6,12000,92
2024-03-11,Zone-C,1506.9,45.81,357.9,32.07,Segment-3,18.3,18000,82
2024-03-11,Zone-D,858.5,42.88,249.2,6.67,Segment-4,18.2,10000,94
2024-03-11,Zone-E,1178.3,44.1,295.1,10.24,Segment-5,17.9,13500,87
2024-03-12,Zone-A,1274.8,45.79,325.6,12.02,Segment-1,19.0,15000,86
2024-03-12,Zone-B,1152.0,43.34,298.3,9.92,Segment-2,18.1,12000,94
2024-03-12,Zone-C,1525.6,45.65,346.6,18.4,Segment-3,18.1,18000,86
2024-03-12,Zone-D,837.8,42.63,255.1,6.9,Segment-4,17.9,10000,98
2024-03-12,Zone-E,1052.2,44.54,315.9,10.53,Segment-5,18.0,13500,86
2024-03-13,Zone-A,1214.6,45.31,336.3,13.07,Segment-1,18.3,15000,89
2024-03-13,Zone-B,1025.4,44.03,281.7,9.54,Segment-2,17.7,12000,90
2024-03-13,Zone-C,1443.9,46.48,368.6,19.53,Segment-3,17.9,18000,84
2024-03-13,Zone-D,939.8,59.15,252.4,5.89,Segment-4,18.1,10000,92
2024-03-13,Zone-E,1118.7,43.86,300.4,12.23,Segment-5,18.2,13500,91
2024-03-14,Zone-A,1311.2,45.1,323.1,14.25,Segment-1,18.4,15000,90
2024-03-14,Zone-B,1015.8,43.79,291.2,8.84,Segment-2,18.3,12000,91
2024-03-14,Zone-C,1455.6,45.58,353.5,18.6,Segment-3,18.7,18000,85
2024-03-14,Zone-D,903.7,42.36,250.5,5.66,Segment-4,18.4,10000,90
2024-03-14,Zone-E,1241.9,44.7,301.3,10.47,Segment-5,18.0,13500,87
2024-03-15,Zone-A,1274.9,44.78,317.0,13.46,Segment-1,18.5,15000,86
2024-03-15,Zone-B,1084.4,44.1,272.1,10.25,Segment-2,18.3,12000,92
2024-03-15,Zone-C,1483.5,46.22,348.5,17.34,Segment-3,18.5,18000,81
2024-03-15,Zone-D,949.3,42.14,237.9,5.94,Segment-4,18.4,10000,91
2024-03-15,Zone-E,1237.6,44.22,298.5,10.52,Segment-5,17.7,13500,89
2024-03-16,Zone-A,1151.8,45.05,331.4,12.24,Segment-1,19.0,15000,85
2024-03-16,Zone-B,967.2,44.14,300.7,7.62,Segment-2,18.7,12000,91
2024-03-16,Zone-C,1486.4,46.19,359.8,16.92,Segment-3,18.1,18000,82
2024-03-16,Zone-D,840.4,42.74,236.7,5.72,Segment-4,18.5,10000,95
2024-03-16,Zone-E,1103.9,43.99,294.7,10.23,Segment-5,17.9,13500,86
2024-03-17,Zone-A,1280.2,45.1,325.7,10.2,Segment-1,18.9,15000,87
2024-03-17,Zone-B,967.6,43.93,282.8,10.04,Segment-2,18.7,12000,90
2024-03-17,Zone-C,1467.7,45.65,366.9,17.88,Segment-3,18.8,18000,81
2024-03-17,Zone-D,921.0,42.64,245.6,8.59,Segment-4,18.7,10000,93
2024-03-17,Zone-E,1152.0,43.78,300.1,8.97,Segment-5,19.2,13500,90
2024-03-18,Zone-A,1251.0,45.47,323.6,13.18,Segment-1,19.4,15000,89
2024-03-18,Zone-B,1012.4,43.59,303.0,8.85,Segment-2,18.9,12000,93
2024-03-18,Zone-C,1467.4,46.21,364.0,31.75,Segment-3,19.6,18000,82
2024-03-18,Zone-D,870.0,42.63,246.5,5.16,Segment-4,19.3,10000,94
2024-03-18,Zone-E,1030.8,43.99,310.3,7.31,Segment-5,19.0,13500,89
2024-03-19,Zone-A,1249.3,45.25,323.1,13.85,Segment-1,19.4,15000,87
2024-03-19,Zone-B,979.8,43.7,277.4,8.56,Segment-2,18.2,12000,91
2024-03-19,Zone-C,1525.1,46.71,357.8,18.44,Segment-3,18.7,18000,85
2024-03-19,Zone-D,854.5,42.97,248.2,6.08,Segment-4,18.5,10000,90
2024-03-19,Zone-E,1135.7,43.86,303.5,11.89,Segment-5,20.6,13500,92
2024-03-20,Zone-A,1284.2,45.07,335.6,11.63,Segment-1,19.1,15000,85
2024-03-20,Zone-B,1040.3,43.78,297.8,9.85,Segment-2,19.8,12000,92
2024-03-20,Zone-C,1371.1,46.41,357.4,19.34,Segment-3,19.5,18000,81
2024-03-20,Zone-D,905.5,42.24,252.7,6.47,Segment-4,19.3,10000,90
2024-03-20,Zone-E,1156.3,44.15,294.6,11.32,Segment-5,19.6,13500,89
2024-03-21,Zone-A,1275.9,45.42,334.7,14.03,Segment-1,19.8,15000,84
2024-03-21,Zone-B,1112.0,43.94,293.1,8.69,Segment-2,19.1,12000,93
2024-03-21,Zone-C,1472.9,45.89,366.0,18.54,Segment-3,18.6,18000,85
2024-03-21,Zone-D,910.1,42.83,248.8,6.24,Segment-4,20.1,10000,88
2024-03-21,Zone-E,1203.5,44.41,295.1,9.24,Segment-5,19.1,13500,88
2024-03-22,Zone-A,1294.5,45.14,335.2,11.75,Segment-1,20.4,15000,90
2024-03-22,Zone-B,1042.0,43.56,283.4,8.38,Segment-2,18.8,12000,89
2024-03-22,Zone-C,1480.8,46.14,360.7,19.04,Segment-3,19.8,18000,85
2024-03-22,Zone-D,920.4,42.45,248.3,7.1,Segment-4,19.1,10000,94
2024-03-22,Zone-E,1178.1,44.09,308.3,12.87,Segment-5,19.0,13500,89
2024-03-23,Zone-A,1319.7,44.69,329.7,11.39,Segment-1,19.3,15000,86
2024-03-23,Zone-B,1071.4,43.62,291.2,9.15,Segment-2,20.1,12000,95
2024-03-23,Zone-C,1494.1,46.0,344.8,17.92,Segment-3,21.2,18000,84
2024-03-23,Zone-D,970.1,42.76,255.4,3.65,Segment-4,21.5,10000,95
2024-03-23,Zone-E,1159.5,44.57,293.8,12.31,Segment-5,20.1,13500,88
2024-03-24,Zone-A,1215.8,44.9,329.9,12.35,Segment-1,19.8,15000,82
2024-03-24,Zone-B,962.2,43.65,304.8,8.01,Segment-2,19.7,12000,91
2024-03-24,Zone-C,1469.8,46.11,360.2,19.74,Segment-3,21.2,18000,84
2024-03-24,Zone-D,919.4,42.65,261.8,4.97,Segment-4,20.1,10000,93
2024-03-24,Zone-E,1046.0,43.65,312.3,8.54,Segment-5,20.6,13500,89
2024-03-25,Zone-A,1338.9,45.09,327.0,13.12,Segment-1,21.0,15000,91
2024-03-25,Zone-B,1055.1,43.06,298.1,11.01,Segment-2,20.0,12000,87
2024-03-25,Zone-C,1500.2,45.89,361.5,33.86,Segment-3,20.3,18000,83
2024-03-25,Zone-D,895.8,41.78,228.4,8.53,Segment-4,20.5,10000,93
2024-03-25,Zone-E,1051.9,43.59,305.3,12.02,Segment-5,20.6,13500,89
2024-03-26,Zone-A,1291.4,44.98,336.7,14.67,Segment-1,21.3,15000,89
2024-03-26,Zone-B,955.5,43.32,287.9,9.11,Segment-2,21.0,12000,92
2024-03-26,Zone-C,1494.5,46.11,356.2,15.15,Segment-3,21.1,18000,82
2024-03-26,Zone-D,867.0,42.76,232.7,6.41,Segment-4,20.2,10000,91
2024-03-26,Zone-E,1152.7,44.1,301.5,11.51,Segment-5,20.8,13500,89
2024-03-27,Zone-A,1316.3,45.46,312.2,11.75,Segment-1,21.5,15000,88
2024-03-27,Zone-B,979.6,61.0,293.1,7.95,Segment-2,21.1,12000,90
2024-03-27,Zone-C,1520.3,46.22,354.4,16.48,Segment-3,20.8,18000,82
2024-03-27,Zone-D,905.8,42.72,234.8,5.1,Segment-4,21.2,10000,95
2024-03-27,Zone-E,1105.5,44.11,299.3,10.03,Segment-5,21.2,13500,89
2024-03-28,Zone-A,1288.1,45.32,325.8,13.63,Segment-1,20.4,15000,87
2024-03-28,Zone-B,1076.2,44.0,294.5,7.44,Segment-2,20.8,12000,92
2024-03-28,Zone-C,1458.5,46.15,371.1,19.06,Segment-3,21.1,18000,83
2024-03-28,Zone-D,878.8,42.81,240.1,5.29,Segment-4,21.7,10000,90
2024-03-28,Zone-E,1089.5,44.18,287.4,10.89,Segment-5,21.0,13500,89
2024-03-29,Zone-A,1358.8,44.93,340.4,11.24,Segment-1,21.1,15000,85
2024-03-29,Zone-B,1085.2,44.15,310.1,7.89,Segment-2,21.5,12000,90
2024-03-29,Zone-C,1361.8,46.51,370.0,18.27,Segment-3,21.6,18000,83
2024-03-29,Zone-D,1007.9,42.15,242.7,6.88,Segment-4,21.3,10000,94
2024-03-29,Zone-E,1045.8,44.16,296.8,9.48,Segment-5,21.0,13500,90
2024-03-30,Zone-A,1334.2,45.52,345.8,11.49,Segment-1,21.5,15000,87
2024-03-30,Zone-B,1010.6,44.16,282.2,8.83,Segment-2,21.0,12000,91
2024-03-30,Zone-C,1533.5,46.16,349.4,17.14,Segment-3,22.7,18000,85
2024-03-30,Zone-D,896.5,42.69,263.9,4.88,Segment-4,22.6,10000,93
2024-03-30,Zone-E,1131.2,44.23,302.7,9.99,Segment-5,21.9,13500,88
